COD_MUNIC,NOME_MUNICIPIO,POPULACAO
3165107,SÃO TOMÁS DE AQUINO,6740
3165206,SÃO TOMÉ DAS LETRAS,6904
3165305,SÃO VICENTE DE MINAS,6804
3165404,SAPUCAÍ-MIRIM,6311
3165503,SARDOÁ,5104
3165537,SARZEDO,36844
3165552,SETUBINHA,9917
3165560,SEM-PEIXE,2433
3165578,SENADOR AMARAL,6206
3165602,SENADOR CORTES,2240
3165701,SENADOR FIRMINO,7716
3165800,SENADOR JOSÉ BENTO,2068
3165909,SENADOR MODESTINO GONÇALVES,4008
3166006,SENHORA DE OLIVEIRA,5483
3166105,SENHORA DO PORTO,3067
3166204,SENHORA DOS REMÉDIOS,10384
3166303,SERICITA,7345
3166402,SERITINGA,1819
3166501,SERRA AZUL DE MINAS,3792
3166600,SERRA DA SAUDADE,833
3166709,SERRA DOS AIMORÉS,6944
3166808,SERRA DO SALITRE,11801
3166907,SERRANIA,7621
3166956,SERRANÓPOLIS DE MINAS,4399
3167004,SERRANOS,1990
3167103,SERRO,21952
3167202,SETE LAGOAS,227397
3167301,SILVEIRÂNIA,2323
3167400,SILVIANÓPOLIS,6179
3167509,SIMÃO PEREIRA,2947
3167608,SIMONÉSIA,19750
3167707,SOBRÁLIA,5137
3167806,SOLEDADE DE MINAS,5613
3167905,TABULEIRO,4014
3168002,TAIOBEIRAS,33050
3168051,TAPARUBA,3387
3168101,TAPIRA,4118
3168200,TAPIRAÍ,1690
3168309,TAQUARAÇU DE MINAS,4224
3168408,TARUMIRIM,14709
3168507,TEIXEIRAS,12255
3168606,TEÓFILO OTONI,137418
3168705,TIMÓTEO,81579
3168804,TIRADENTES,7744
3168903,TIROS,7883
3169000,TOCANTINS,16185
3169059,TOCOS DO MOJI,3826
3169109,TOLEDO,7214
3169208,TOMBOS,8609
3169307,TRÊS CORAÇÕES,75485
3169356,TRÊS MARIAS,28895
3169406,TRÊS PONTAS,55255
3169505,TUMIRITINGA,5886
3169604,TUPACIGUARA,25470
3169703,TURMALINA,20000
3169802,TURVOLÂNDIA,4935
3169901,UBÁ,103365
3170008,UBAÍ,11708
3170057,UBAPORANGA,13017
3170107,UBERABA,337836
3170206,UBERLÂNDIA,713224
3170305,UMBURATIBA,2684
3170404,UNAÍ,86619
3170438,UNIÃO DE MINAS,3828
3170479,URUANA DE MINAS,3282
3170503,URUCÂNIA,10600
3170529,URUCUIA,17479
3170578,VARGEM ALEGRE,5780
3170602,VARGEM BONITA,2158
3170651,VARGEM GRANDE DO RIO PARDO,4633
3170701,VARGINHA,136467
3170750,VARJÃO DE MINAS,6969
3170800,VÁRZEA DA PALMA,33744
3170909,VARZELÂNDIA,18840
3171006,VAZANTE,19975
3171030,VERDELÂNDIA,7672
3171071,VEREDINHA,5181
3171105,VERÍSSIMO,3411
3171154,VERMELHO NOVO,4899
3171204,VESPASIANO,129246
3171303,VIÇOSA,76430
3171402,VIEIRAS,3700
3171501,MATHIAS LOBATO,3038
3171600,VIRGEM DA LAPA,11804
3171709,VIRGÍNIA,8908
3171808,VIRGINÓPOLIS,10314
3171907,VIRGOLÂNDIA,4552
3172004,VISCONDE DO RIO BRANCO,39160
3172103,VOLTA GRANDE,4443
3172202,WENCESLAU BRAZ,235
